"# Constructed from biom file"																																								
"#OTU ID"	"Tiberias_Head_09_2017"	"Tiberias_Pump_09_2017"	"Tiberias_Pool_09_2018"	"Tiberias_Pool_01_2019"	"Tiberias_Pool_06_2018"	"Tiberias_Pool_01_2018"	"Tiberias_Head_09_2018"	"Tiberias_Head_01_2019"	"Tiberias_Head_06_2018"	"Tiberias_Pump_01_2019"	"Tiberias_Pump_09_2018"	"Tiberias_Pump_01_2018"	"Haon_01_2019"	"Haon_09_2017"	"Haon_01_2018"	"Haon_09_2018"	"Nur_09_2018"	"Nur_09_2017"	"Nur_01_2019"	"Nur_01_2018"	"Maayan1_09_2017"	"Gesher_hana_09_2017"	"Barbutim_01_2019"	"Maayan1_09_2018"	"Gesher_hana_09_2018"	"Ein7_09_2018"	"Barbutim_09_2018"	"Barbutim_01_2018"	"Maayan1_01_2018"	"Fuliya4_01_2019"	"Ein7_01_2018"	"Gesher_hana_01_2018"	"Fuliya4_09_2017"	"Fuliya4_01_2018"	"Barbutim_09_2017"	"Ein7_09_2017"	"Fuliya4_09_2018"	"Maayan1_01_2019"	"Gesher_hana_01_2019"	"Ein7_01_2019"
"08cb2"	0	0	0	0	0	0	0	0	0	0	0	0	0.003082546783785	0.009618721800783	0.007719478151883	0.004455935746507	0	0	0	0	0	0	0	0	0.003604902667628	0	0	0	0.007339449541284	0	0	0	0	0	0	0	0	0	0	0
"a3489"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23388848660391	0	0	0	0	0.023387549074593	0	0	0	0	0	0	0.002086485625548	0	0	0	0	0
"4a4c1"	0	0	0	0	0	0	0.888795986622073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.349585646471961	0	0	0	0.943884001829285	0.280874929893438	0	0	0	0	0	0	0.910695229752329	0	0	0	0	0
"5dd96"	0	0	0	0	0	0	0	0	0	0	0	0	0.829205084838235	0.828152114631365	0.933202301600866	0.145175486852239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"e97f7"	0	0	0.068119891008174	0	0.030245746691872	0.144893111638955	0	0	0	0	0.018684603886398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5ef89"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058609958506224	0	0	0	0	0	0	0	0	0	0	0	0.03816425120773	0	0	0	0	0	0	0.070493879273955	0.025100712736288	0.099512195121951
"d7d05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106042320379757	0	0	0	0	0.038698822209759	0.005504587155963	0	0	0.004975759122225	0.002687543818649	0	0.000350402166122	0	0	0	0	0
"e03e5"	0	0	0	0	0	0	0	0.0078125	0.267123287671233	0	0	0	0	0	0	0	0	0	0	0.007891414141414	0.039635506276684	0.062591329761325	0	0	0.012256669069935	0.004113174622959	0	0	0	0.01	0.140096618357488	0.008548099004848	0.024304744099089	0.062775330396476	0	0.048787613204791	0.008214676889376	0.011397214014352	0.068174775333127	0
"2a7d1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005660377358491	0	0.025094696969697	0.00133817625693	0	0	0.007537688442211	0.004325883201154	0.033030038638913	0	0	0.006727828746177	0.005	0.04975845410628	0.005996427660117	0	0.001355472721111	0	0	0	0.003376952300549	0.023861171366594	0.037073170731707
"6dc32"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187657828282828	0.235582743898553	0.006088650754993	0	0	0.113914924297044	0.021687648011966	0	0	0	0	0	0.029216636897168	0.067539144659967	0.016689257878685	0	0.024832018697049	0.01022270901789	0	0	0
"f0c0c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005050505050505	0.021601988147582	0.004870920603994	0	0	0.010814708002884	0.003365324691512	0	0	0	0	0	0.004465424853279	0.012035522318299	0.091494408675025	0	0.007595676307333	0	0	0	0
"c5860"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001016604540834	0	0	0.102774735304856	0	0	0
"26403"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047004383828544	0	0	0.059120403749099	0	0	0	0	0	0.063768115942029	0	0.04054685674223	0.037868519146052	0	0	0.000730193501278	0	0.00092965602727	0
"68fb8"	0	0	0	0	0	0	0	0	0	0	0.030642750373692	0.021370670596905	0	0	0	0	0.016039481801357	0.054716981132076	0	0.019728535353535	0.049894857579813	0.006819288845592	0	0.001005025125628	0.058399423215573	0.007603140969712	0	0.000785193494111	0.023241590214067	0	0.216425120772947	0.011992855320235	0.052699228791774	0.029905116909522	0	0.021326321939819	0.012230741146404	0	0.092655717384568	0.098536585365854
"b900c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004668049792531	0.004892676767677	0.002803797871663	0	0	0.003015075376884	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196707471506965	0	0.00390243902439
"70296"	0	0	0	0	0	0	0	0	0	0.197773164748066	0	0.00319331859494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fd7ae"	0.364210526315789	0.581661891117478	0.174386920980926	0	0.329867674858223	0.079869358669834	0.111204013377926	0	0	0	0.01644245142003	0.089167280766397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"80ce6"	0	0	0	0	0	0	0	0	0	0.039252689186639	0	0	0	0	0	0	0	0	0	0	0	0	0.001126397940301	0	0	0	0	0.002075154234436	0	0	0	0	0	0	0	0.127665790242477	0	0	0	0
"5f2ab"	0	0	0	0	0	0.180671021377672	0	0	0.061643835616438	0	0	0.019896831245394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016358962374387	0	0	0	0	0	0	0
"54404"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004425134765468	0	0	0	0	0.156926528323051	0	0	0	0	0.002336994624912	0.000931887495764	0	0	0	0	0.021072203284785	0
"83669"	0	0	0	0	0	0	0	0	0	0.080392526891866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004767246214246	0	0	0	0	0	0	0	0	0	0	0	0
"d7f5c"	0.042105263157895	0	0.113079019073569	0.053708439897698	0.034026465028355	0.084619952494062	0	0	0.143835616438356	0	0.009342301943199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001635896237439	0	0	0	0	0	0	0
"9b6f9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06705118961788	0	0	0	0	0	0	0.05715743812197	0.197709745267586	0	0	0	0	0	0	0
"c02ec"	0	0	0	0	0	0	0	0	0	0.288922438195886	0	0	0	0	0	0	0.004935225169648	0	0.015560165975104	0.011363636363636	0.009558401835213	0	0	0.004522613065327	0	0	0	0.002748177229389	0.008562691131498	0	0	0	0.010282776349614	0.001863774991528	0	0	0	0.007598142676235	0.002169197396963	0
"62715"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003896736483195	0	0	0	0.019444098217624	0	0	0	0	0	0.042230160755295	0	0	0	0	0	0	0.025100712736288	0
"08fea"	0	0	0.062670299727521	0	0	0.064726840855107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009494679156312	0	0	0	0	0	0	0	0	0	0	0	0.012035522318299	0	0	0	0	0	0	0
"7013b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023135071153795	0	0	0	0	0	0	0	0.024496296886199	0	0	0	0	0
"d7b79"	0	0	0	0	0	0	0	0	0.061643835616438	0	0	0	0	0	0	0	0	0	0.127074688796681	0.289299242424242	0.155738227235073	0.003896736483195	0	0.61105527638191	0.068493150684932	0.183721799825502	0	0	0	0.036666666666667	0	0.06417453431998	0.172820752512269	0.023720772619451	0	0.219690330119778	0.279846659364732	0	0.033467616981717	0.392195121951219
