"# Constructed from biom file"																																								
"#OTU ID"	"Barbutim-09-2017"	"Haon-09-2017"	"Tiberias-Head-09-2017"	"Maayan1-09-2017"	"Ein7-09-2017"	"Fuliya4-09-2017"	"Tiberias-Pump-09-2017"	"Gesher-Hana-09-2017"	"Nur-09-2017"	"Barbutim-01-2018"	"Haon-01-2018"	"Tiberias-Pump-01-2018"	"Tiberias-Pool-01-2018"	"Gesher-Hana-01-2018"	"Nur-01-2018"	"Maayan1-01-2018"	"Ein7-01-2018"	"Fuliya4-01-2018"	"Barbutim-09-2018"	"Haon-09-2018"	"Tiberias-Head-09-2018"	"Tiberias-Pump-09-2018"	"Tiberias-Pool-09-2018"	"Gesher-Hana-09-2018"	"Nur-09-2018"	"Maayan1-09-2018"	"Ein7-09-2018"	"Fuliya4-09-2018"	"Barbutim-01-2019"	"Haon-01-2019"	"Tiberias-Head-01-2019"	"Tiberias-Pump-01-2019"	"Tiberias-Pool-01-2019"	"Gesher-Hana-01-2019"	"Nur-01-2019"	"Maayan1-01-2019"	"Ein7-01-2019"	"Fuliya4-01-2019"	"Tiberias-Head-06-2018"	"Tiberias-Pool-06-2018"
"f326c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0
"2f9ce"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	62	0	0	0	0
"ea421"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	38	0	0	0	0
"78dfd"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0
"2fc37"	0	0	0	0	0	0	0	28	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	16	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
"e78a6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	52	35	28	0	0	0
"87f0d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	46	0	0	0	0
"e7d59"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"05135"	0	0	0	0	7	11	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	18	0	0
"cbffb"	0	0	0	0	0	0	0	0	0	29	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	146	179	207	0	0	0
