"Sample-name","Date","Month","Station","Year","Season","origin","environment","Legionella-count","Legionella-count-Log2","Legionella-count-Log10","Ph","Turbidity","Temp","TDP","TP","TN","TDN","Na","SO4","Fe","Nitrate","Cl","Conductivity","Origin-numeric","Legionella-count-old"
"Tiberias-pump-Jan19","Jan19","Jan","Tiberias-pump",2019,"Winter","Tiberias Hot Springs","Water",792,9.62935662007961,2.9,6.98,7.39,43.5,13.4,24.8,28.52,14.52,280,636,0.1,0.12,499.39,44400,3,792
"Tiberias-pool-Sep17","Sep17","Sep","Tiberias-pool",2017,"Autumn ","Tiberias Hot Springs","Water",67200,16.3049929472201,4.91,6.97,1.32,46,,20.6,7.71,,294,,,,525.37,47900,3,80964
"Tiberias-pool-Jan18","Jan18","Jan","Tiberias-pool",2018,"Winter","Tiberias Hot Springs","Water",41100,15.3268507734564,4.61,7.02,5.38,40,9,16,3.85,2.02,286,621,15.3,0.82,511.42,46800,3,41100
"Tiberias-pool-Jun18","Jun18","Jun","Tiberias-pool",2018,"Summer","Tiberias Hot Springs","Water",25575,14.6424466195201,4.41,6.98,1.26,45,19,22.7,6.15,5.76,293,572,5,0.11,523.38,46800,3,25575
"Tiberias-pool-Oct18","Oct18","Oct","Tiberias-pool",2018,"Autumn ","Tiberias Hot Springs","Water",69404,16.0827311924087,4.84,6.91,1.26,44,11.3,16.3,8.35,6.04,305,813,6,0.02,544.65,48400,3,69404
"Tiberias-pool-Jan19","Jan19","Jan","Tiberias-pool",2019,"Winter","Tiberias Hot Springs","Water",158026,17.269802418821,5.2,7.27,0.78,39,8.7,8.7,36.22,16.87,304,662,10,0.15,543.13,47500,3,158026
"Haon-drill-Sep17","Sep17","Sep","Haon-drill",2017,"Autumn ","Haon-Borehole","Water",73842,17.728538369454,5.34,7.38,17.7,27,,98.3,2.57,,69,,,,128.34,14400,4,217181
"Haon-drill-Jan18","Jan18","Jan","Haon-drill",2018,"Winter","Haon-Borehole","Water",22800,14.4767462039395,4.36,7.33,880,22.1,95.4,130.2,3.69,3.3,66,542,14.8,1.19,122,13920,4,22800
"Haon-drill-Jun18","Jun18","Jun","Haon-drill",2018,"Summer","Haon-Borehole","Water",21275,14.3768715114607,4.33,7.34,12.1,26,71.6,80.2,3.46,2.71,64,460,9.1,0.65,118.08,13680,4,21275
"Haon-drill-Oct18","Oct18","Oct","Haon-drill",2018,"Autumn ","Haon-Borehole","Water",4736,12.2094533656289,3.68,7.16,6.18,26,25.9,41.9,5.97,5.25,63,612,25,0.42,117.24,13410,4,4736
"Haon-drill-Jan19","Jan19","Jan","Haon-drill",2019,"Winter","Haon-Borehole","Water",62695,15.9360627705379,4.8,6.8,15.2,25,13.4,75.1,4.87,4.52,138,573,103.3,0.1,254.67,25500,4,62695
"Barbutim-Sep17","Sep17","Sep","Barbutim",2017,"Autumn ","Tabgha","Water",3460,11.7565563225241,3.54,7.49,1.32,26,,19.7,0.64,,20,,,,29.56,3630,5,3460
"Barbutim-Jan18","Jan18","Jan","Barbutim",2018,"Winter","Tabgha","Water",10577,13.3686428672224,4.02,7.45,2.33,24,10.3,19.5,0.93,0.91,19,66,7,0.57,28.69,3690,5,10577
"Barbutim-Jun18","Jun18","Jun","Barbutim",2018,"Summer","Tabgha","Water",3140,11.616548843779,3.5,7.18,1.19,28.3,12.5,23.8,0.91,0.8,22,46,5.4,0.79,33.69,4350,5,3140
"Barbutim-Oct18","Oct18","Oct","Barbutim",2018,"Autumn ","Tabgha","Water",10382,13.3417967723918,4.02,7.16,0.93,27,11.4,12.4,1.22,1.06,23,88,16,0.75,34.92,4280,5,10382
"Barbutim-Jan19","Jan19","Jan","Barbutim",2019,"Winter","Tabgha","Water",33128,15.0157634873699,4.52,7.03,4.48,21.9,13,85.1,1.03,0.47,28,76,1.5,0.21,41.83,5180,5,33128
