	"10B-917"	"10W-118"	"10W-119"	"10W-917"	"10W-918"	"11B-118"	"11B-119"	"11B-917"	"11B-918"	"11W-118"	"11W-119"	"11W-917"	"11W-918"	"12B-118"	"12B-119"	"12B-618"	"12B-917"	"12B-918"	"12W-118"	"12W-119"	"12W-618"	"12W-917"	"12W-918"	"13W-118"	"13W-119"	"13W-917"	"13W-918"	"14B-118"	"14B-119"	"14B-618"	"14B-917"	"14B-918"	"14W-118"	"14W-119"	"14W-618"	"14W-917"	"14W-918"	"16W-118"	"16W-119"	"16W-917"	"16W-918"	"5B-118"	"5B-119"	"5B-917"	"5B-918"	"5W-118"	"5W-119"	"5W-917"	"5W-918"	"6B-118"	"6B-119"	"6B-917"	"6B-918"	"6W-118"	"6W-119"	"6W-917"	"6W-918"	"8W-118"	"8W-119"	"8W-917"	"8W-918"	"9B-118"	"9B-119"	"9B-917"	"9B-918"	"9W-118"	"9W-119"	"9W-917"	"9W-918"
"332c5a25baed8c2a7cffa83139fa8049"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1087	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3ff7fadfbeb7e4a50188ae08d63f93ff"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0
"54dc334bfa9e2e202f7a3e697a7bd9f8"	0	0	0	0	0	0	0	0	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	720	0	14	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0
"0a06b4f4c13a1d5224969e6d42bd8897"	0	0	0	0	0	0	203	0	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d64562aecea5b1d06be7033201d09921"	47	500	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	47	0	172	45	0	0	0	0	265	74	0	0	29	90	1451	47
"5487cc5ee893ebc757e9e5f6775a173a"	0	0	0	0	0	0	0	0	0	0	0	0	0	212	7	9	575	0	0	0	0	435	0	0	0	5	96	191	0	522	6	63	35	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4063cd35874fa195c2d86ad508eae398"	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2087	2	109	0	355	237	49	0	0	0	0	0	0	0	339	0	0	0	0	0	98	170	0	0	0	0	0
"284e5ce9b60cf3f483f0c92956c2b934"	0	0	36	11	0	0	0	0	0	64	95	18	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	135	18	0	0	0	0	0	46	27	0	0	0	0	0	5	0	0	0	0	0	153	0
"55c48fc529f1663ffff308ba9a44fc90"	31	0	0	0	0	0	73	61	197	3	0	3	15	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	590	98	53	40	0	0	0	0	22	89	0	5	0	0	0	0	0	0	7	0
"632d28c3fda7782723bc98de2420f112"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	3	863	42	0	129	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
