"SampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"new-sample-IDs"	"collection-date"	"yaer"	"month"	"sample-name-sequencing-centre"	"sequencing-centre"	"sequancing-run"	"result"	"station"	"date_last_three"	"Station-date"	"origin"	"origin_new"	"environment"	"DEPTH"	"amplicon"	"primers"	"DNA-extraction"	"DNA-conc"	"temperature"	"DO"	"Chl"	"pH"	"turbidity"	"alkalinity"	"ORP"	"Cl"	"conductivity"	"TN"	"TP"	"SO4"	"microcystis-biomass"	"pytoplankton-biomas"	"ciliates-biomass"	"bacil-chr-biomass"	"chloro-biomass"	"crypto-biomass"	"cyanoph-biomass"	"dino-biomass"	"Na"
"12W-917"			"tveria-head_09-2017_W"	"09-2017"	2017	"Sep"	"12w-917"	"MrDNA"	"12-2017"	"work"	"Tiberias Head"	"917"	"Tiberias Head 917"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-water"	8.22	59			6.51	8.83				46600	9.44	24.6										360.59
"13W-917"			"tveria-pump_09-2017_W"	"09-2017"	2017	"Sep"	"13w-0917"	"MrDNA"	"12-2017"	"work"	"Tiberias Pump"	"917"	"Tiberias Pump 917"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-water"	10.6	51			6.93	2.91				44900	2.55	27.9										341.8
"14W-917"			"tveria-pool_09-2017_W"	"09-2017"	2017	"Sep"	"14W-0917"	"MrDNA"	"12-2017"	"work"	"Tiberias Pool"	"917"	"Tiberias Pool 917"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-water"	3.48	46			6.97	1.32				47900	7.71	20.6										366.42
"11W-917"			"gesher-hana_09-2017_W"	"09-2017"	2017	"Sep"	"11W-0917"	"MrDNA"	"12-2017"	"work"	"Gesher Hana"	"917"	"Gesher Hana 917"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-water"	7.8	26			7.89	2.21				4430	2.4	18.3										27.23
"10W-917"			"nur_09-2017_W"	"09-2017"	2017	"Sep"	"10W-0917"	"MrDNA"	"12-2017"	"work"	"Nur"	"917"	"Nur 917"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-water"	1.16	26			7.29	0.54				6660	2.04	17.4										41.58
"9W-917"			"maayan1_09-2017_W"	"09-2017"	2017	"Sep"	"9W-0917"	"MrDNA"	"12-2017"	"work"	"Maayan1"	"917"	"Maayan1 917"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-water"	2.64	29			7.42	1.22				4460	2.22	17										27.97
"6W-917"			"ein7_09-2017_W"	"09-2017"	2017	"Sep"	"6W-0917"	"MrDNA"	"12-2017"	"work"	"Ein7"	"917"	"Ein7 917"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-water"	11	25			7.36	1.18				4480	2.81	19.8										18.53
"5W-917"			"fulia4_09-2017_W"	"09-2017"	2017	"Sep"	"5W-0917"	"MrDNA"	"12-2017"	"work"	"Fuliya4"	"917"	"Fuliya4 917"	"Fulia"	"Fuliya"	"Water"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-water"	10.2	30			7.29	5.19				3420	3.75	24.7										19.62
"12B-917"			"tveria-head_09-2017_B"	"09-2017"	2017	"Sep"	"12B-0917"	"MrDNA"	"12-2017"	"work"	"Tiberias Head"	"917"	"Tiberias Head 917"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-soil"	8.22	59			6.51	8.83				46600	9.44	24.6										360.59
"14B-917"			"tveria-pool_09-2017_B"	"09-2017"	2017	"Sep"	"14B-0917"	"MrDNA"	"12-2017"	"work"	"Tiberias Pool"	"917"	"Tiberias Pool 917"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-soil"	3.48	46			6.97	1.32				47900	7.71	20.6										366.42
"11B-917"			"gesher-hana_09-2017_B"	"09-2017"	2017	"Sep"	"11B-0917"	"MrDNA"	"12-2017"	"work"	"Gesher Hana"	"917"	"Gesher Hana 917"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-soil"	7.8	26			7.89	2.21				4430	2.4	18.3										27.23
"10B-917"			"nur_09-2017_B"	"09-2017"	2017	"Sep"	"10B-0917"	"MrDNA"	"12-2017"	"work"	"Nur"	"917"	"Nur 917"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-soil"	1.16	26			7.29	0.54				6660	2.04	17.4										41.58
"9B-917"			"maayan1_09-2017_B"	"09-2017"	2017	"Sep"	"9B-0917"	"MrDNA"	"12-2017"	"work"	"Maayan1"	"917"	"Maayan1 917"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-soil"	2.64	29			7.42	1.22				4460	2.22	17										27.97
"6B-917"			"ein7_09-2017_B"	"09-2017"	2017	"Sep"	"6B-0917"	"MrDNA"	"12-2017"	"work"	"Ein7"	"917"	"Ein7 917"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-soil"	11	25			7.36	1.18				4480	2.81	19.8										18.53
"5B-917"			"fulia4_09-2017_B"	"09-2017"	2017	"Sep"	"5B-0917"	"MrDNA"	"12-2017"	"work"	"Fuliya4"	"917"	"Fuliya4 917"	"Fulia"	"Fuliya"	"Biofilm"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-soil"	10.2	30			7.29	5.19				3420	3.75	24.7										19.62
