"feature_ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"a1acf"	"a1acf"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e97c6"	"e97c6"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d49b2"	"d49b2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"66297"	"66297"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"bf75e"	"bf75e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2db23"	"2db23"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"69ee0"	"69ee0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b7283"	"b7283"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fc2f3"	"fc2f3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ee373"	"ee373"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5bbd9"	"5bbd9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1962e"	"1962e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"516d6"	"516d6"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"489c1"	"489c1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5fbe9"	"5fbe9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"642fc"	"642fc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"41a49"	"41a49"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f7a71"	"f7a71"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"594d4"	"594d4"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1b6e3"	"1b6e3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b4b90"	"b4b90"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"11038"	"11038"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"32d31"	"32d31"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6cb33"	"6cb33"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"79208"	"79208"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5df2d"	"5df2d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fbdf3"	"fbdf3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"812d7"	"812d7"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c5ced"	"c5ced"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d143d"	"d143d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4d0ab"	"4d0ab"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"22610"	"22610"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0e393"	"0e393"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"69641"	"69641"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
